Accession,Organism_Name,Species,Pangolin,PangoVersions,Genotype,Isolate,Length,Nuc_Completeness,Geo_Location,Host,Tissue_Specimen_Source,Submitters,Collection_Date,Release_Date,Molecule_type
MZ724511,Severe acute respiratory syndrome coronavirus 2,Betacoronavirus pandemicum,B.1.617,4.3.1/1.34/v0.1.12/0.3.19/0.6.3,,hospital_3_223,29796,complete,India,Homo sapiens,oronasopharynx,"Mlcochova,P., Kemp,S.A., Dhar,M.S., Papa,G., Meng,B., Ferreira,I.A.T.M., Datir,R., Collier,D.A., Albecka,A., Singh,S., Pandey,R., Brown,J., Zhou,J., Goonawardane,N., Mishra,S., Whittaker,C., Mellan,T., Marwal,R., Datta,M., Sengupta,S., Ponnusamy,K., Radhakrishnan,V.S., Abdullahi,A., Charles,O., Chattopadhyay,P., Devi,P., Caputo,D., Peacock,T., Wattal,C., Goel,N., Satwik,A., Vaishya,R., Agarwal,M., Mavousian,A., Lee,J.H., Bassi,J., Silacci-Fegni,C., Saliba,C., Pinto,D., Irie,T., Yoshida,I., Hamilton,W.L., Sato,K., Bhatt,S., Flaxman,S., James,L.C., Corti,D., Piccoli,L., Barclay,W.S., Rakshit,P., Agrawal,A., Gupta,R.K., Kemp,S.",2021-04-16,2021-08-09,ssRNA(+)
MZ702552,Severe acute respiratory syndrome coronavirus 2,Betacoronavirus pandemicum,B.1.36.8,4.3.1/1.34/v0.1.12/0.3.19/0.6.3,,GBRC1230,29790,complete,India,Homo sapiens,oronasopharynx,"Sharma,S., Saiyed,Z., Pandit,R., Raval,J., Patel,Z., Savaliya,N., Kumar,D., Soni,T., Khatri,H., Mishra,U., Shah,N., Joshi,C., Joshi,M.",2021-05-09,2021-08-04,ssRNA(+)
MZ702637,Severe acute respiratory syndrome coronavirus 2,Betacoronavirus pandemicum,B.1.617,4.3.1/1.34/v0.1.12/0.3.19/0.6.3,,GBRC1244,29795,complete,India,Homo sapiens,oronasopharynx,"Kumar,D., Soni,T., Sharma,S., Saiyed,Z., Pandit,R., Raval,J., Patel,Z., Savaliya,N., Khatri,H., Mishra,U., Shah,N., Joshi,C., Joshi,M.",2021-04-08,2021-08-04,ssRNA(+)
MZ702699,Severe acute respiratory syndrome coronavirus 2,Betacoronavirus pandemicum,B.1.617,4.3.1/1.34/v0.1.12/0.3.19/0.6.3,,GBRC1254,29795,complete,India,Homo sapiens,oronasopharynx,"Sharma,S., Saiyed,Z., Pandit,R., Raval,J., Patel,Z., Savaliya,N., Kumar,D., Soni,T., Khatri,H., Mishra,U., Shah,N., Joshi,C., Joshi,M.",2021-04-07,2021-08-04,ssRNA(+)
MZ702716,Severe acute respiratory syndrome coronavirus 2,Betacoronavirus pandemicum,B.1.617.2,4.3.1/1.34/v0.1.12/0.3.19/0.6.3,,GBRC1262,29789,complete,India,Homo sapiens,oronasopharynx,"Sharma,S., Saiyed,Z., Pandit,R., Raval,J., Patel,Z., Savaliya,N., Kumar,D., Soni,T., Khatri,H., Mishra,U., Shah,N., Joshi,C., Joshi,M.",2021-04-15,2021-08-04,ssRNA(+)
MZ572200,Severe acute respiratory syndrome coronavirus 2,Betacoronavirus pandemicum,B.1.617.2,4.3.1/1.34/v0.1.12/0.3.19/0.6.3,,CWS_0083_52195988,29836,complete,India,Homo sapiens,,"Sawant,S.V., Prakash,S., Shukla,S., Jain,A.",2021-06-01,2021-07-17,ssRNA(+)
MZ572201,Severe acute respiratory syndrome coronavirus 2,Betacoronavirus pandemicum,AY.111,4.3.1/1.34/v0.1.12/0.3.19/0.6.3,,CWS_0084_52220027,29837,complete,India,Homo sapiens,,"Sawant,S.V., Prakash,S., Shukla,S., Jain,A.",2021-06-01,2021-07-17,ssRNA(+)
MZ572203,Severe acute respiratory syndrome coronavirus 2,Betacoronavirus pandemicum,B.1.617.2,4.3.1/1.34/v0.1.12/0.3.19/0.6.3,,CWS_0088_52495679,29826,complete,India,Homo sapiens,,"Sawant,S.V., Prakash,S., Shukla,S., Jain,A.",2021-06-01,2021-07-17,ssRNA(+)
MZ572204,Severe acute respiratory syndrome coronavirus 2,Betacoronavirus pandemicum,B.1.617.2,4.3.1/1.34/v0.1.12/0.3.19/0.6.3,,CWS_0089_53313859,29837,complete,India,Homo sapiens,,"Sawant,S.V., Prakash,S., Shukla,S., Jain,A.",2021-06-04,2021-07-17,ssRNA(+)
MZ572205,Severe acute respiratory syndrome coronavirus 2,Betacoronavirus pandemicum,AY.120,4.3.1/1.34/v0.1.12/0.3.19/0.6.3,,CWS_0090_53863767,29836,complete,India,Homo sapiens,,"Sawant,S.V., Prakash,S., Shukla,S., Jain,A.",2021-06-06,2021-07-17,ssRNA(+)
MZ572206,Severe acute respiratory syndrome coronavirus 2,Betacoronavirus pandemicum,B.1.617.2,4.3.1/1.34/v0.1.12/0.3.19/0.6.3,,CWS_0091_54742087,29836,complete,India,Homo sapiens,,"Sawant,S.V., Prakash,S., Shukla,S., Jain,A.",2021-06-09,2021-07-17,ssRNA(+)
MZ572207,Severe acute respiratory syndrome coronavirus 2,Betacoronavirus pandemicum,B.1.617.2,4.3.1/1.34/v0.1.12/0.3.19/0.6.3,,CWS_0092_56122518,29836,complete,India,Homo sapiens,,"Sawant,S.V., Prakash,S., Shukla,S., Jain,A.",2021-06-14,2021-07-17,ssRNA(+)
MZ572220,Severe acute respiratory syndrome coronavirus 2,Betacoronavirus pandemicum,B.1.617.2,4.3.1/1.34/v0.1.12/0.3.19/0.6.3,,CWS_0120_56288220,29837,complete,India,Homo sapiens,,"Agarwal,J., Prakash,S., Shukla,S., Jain,A.",2021-06-14,2021-07-17,ssRNA(+)
MZ572221,Severe acute respiratory syndrome coronavirus 2,Betacoronavirus pandemicum,B.1.617.2,4.3.1/1.34/v0.1.12/0.3.19/0.6.3,,CWS_0121_55485557,29837,complete,India,Homo sapiens,,"Agarwal,J., Prakash,S., Shukla,S., Jain,A.",2021-06-11,2021-07-17,ssRNA(+)
MZ558086,Severe acute respiratory syndrome coronavirus 2,Betacoronavirus pandemicum,B.1.617.2,4.3.1/1.34/v0.1.12/0.3.19/0.6.3,,CWS_0001_48752363,29837,complete,India,Homo sapiens,,"Prakash,S., Shukla,S., Mishra,H., Jain,A.",2021-05-21,2021-07-14,ssRNA(+)
MZ558087,Severe acute respiratory syndrome coronavirus 2,Betacoronavirus pandemicum,B.1.617.2,4.3.1/1.34/v0.1.12/0.3.19/0.6.3,,CWS_0002_48871294,29837,complete,India,Homo sapiens,,"Prakash,S., Shukla,S., Mishra,H., Jain,A.",2021-05-21,2021-07-14,ssRNA(+)
MZ558088,Severe acute respiratory syndrome coronavirus 2,Betacoronavirus pandemicum,B.1.617.2,4.3.1/1.34/v0.1.12/0.3.19/0.6.3,,CWS_0003_48255654,29837,complete,India,Homo sapiens,,"Prakash,S., Shukla,S., Mishra,H., Jain,A.",2021-05-21,2021-07-14,ssRNA(+)
MZ558089,Severe acute respiratory syndrome coronavirus 2,Betacoronavirus pandemicum,B.1.617.2,4.3.1/1.34/v0.1.12/0.3.19/0.6.3,,CWS_0004_48819534,29836,complete,India,Homo sapiens,,"Prakash,S., Shukla,S., Mishra,H., Jain,A.",2021-05-22,2021-07-14,ssRNA(+)
MZ558090,Severe acute respiratory syndrome coronavirus 2,Betacoronavirus pandemicum,B.1.617.2,4.3.1/1.34/v0.1.12/0.3.19/0.6.3,,CWS_0005_48868639,29836,complete,India,Homo sapiens,,"Prakash,S., Shukla,S., Mishra,H., Jain,A.",2021-05-22,2021-07-14,ssRNA(+)
MZ558091,Severe acute respiratory syndrome coronavirus 2,Betacoronavirus pandemicum,B.1.617.2,4.3.1/1.34/v0.1.12/0.3.19/0.6.3,,CWS_0006_49088398,29837,complete,India,Homo sapiens,,"Prakash,S., Shukla,S., Mishra,H., Jain,A.",2021-05-22,2021-07-14,ssRNA(+)
MZ558092,Severe acute respiratory syndrome coronavirus 2,Betacoronavirus pandemicum,B.1.617.2,4.3.1/1.34/v0.1.12/0.3.19/0.6.3,,CWS_0007_49247530,29837,complete,India,Homo sapiens,,"Prakash,S., Shukla,S., Mishra,H., Jain,A.",2021-05-23,2021-07-14,ssRNA(+)
MZ558093,Severe acute respiratory syndrome coronavirus 2,Betacoronavirus pandemicum,B.1.617.2,4.3.1/1.34/v0.1.12/0.3.19/0.6.3,,CWS_0009_49323453,29836,complete,India,Homo sapiens,,"Prakash,S., Shukla,S., Mishra,H., Jain,A.",2021-05-23,2021-07-14,ssRNA(+)
MZ558094,Severe acute respiratory syndrome coronavirus 2,Betacoronavirus pandemicum,B.1.617.1,4.3.1/1.34/v0.1.12/0.3.19/0.6.3,,CWS_0010_49323455,29836,complete,India,Homo sapiens,,"Prakash,S., Shukla,S., Mishra,H., Jain,A.",2021-05-23,2021-07-14,ssRNA(+)
MZ558095,Severe acute respiratory syndrome coronavirus 2,Betacoronavirus pandemicum,B.1.617.2,4.3.1/1.34/v0.1.12/0.3.19/0.6.3,,CWS_0011_49330959,29837,complete,India,Homo sapiens,,"Prakash,S., Shukla,S., Mishra,H., Jain,A.",2021-05-23,2021-07-14,ssRNA(+)
MZ558096,Severe acute respiratory syndrome coronavirus 2,Betacoronavirus pandemicum,B.1.617.2,4.3.1/1.34/v0.1.12/0.3.19/0.6.3,,CWS_0012_49330960,29836,complete,India,Homo sapiens,,"Prakash,S., Shukla,S., Mishra,H., Jain,A.",2021-05-23,2021-07-14,ssRNA(+)
MZ558097,Severe acute respiratory syndrome coronavirus 2,Betacoronavirus pandemicum,B.1.617.2,4.3.1/1.34/v0.1.12/0.3.19/0.6.3,,CWS_0013_49483655,29826,complete,India,Homo sapiens,,"Prakash,S., Shukla,S., Mishra,H., Jain,A.",2021-05-24,2021-07-14,ssRNA(+)
MZ558098,Severe acute respiratory syndrome coronavirus 2,Betacoronavirus pandemicum,B.1.617.2,4.3.1/1.34/v0.1.12/0.3.19/0.6.3,,CWS_0014_49689056,29837,complete,India,Homo sapiens,,"Prakash,S., Shukla,S., Mishra,H., Jain,A.",2021-05-24,2021-07-14,ssRNA(+)
MZ558099,Severe acute respiratory syndrome coronavirus 2,Betacoronavirus pandemicum,B.1.617.2,4.3.1/1.34/v0.1.12/0.3.19/0.6.3,,CWS_0015_49899483,29836,complete,India,Homo sapiens,,"Prakash,S., Shukla,S., Mishra,H., Jain,A.",2021-05-25,2021-07-14,ssRNA(+)
MZ558100,Severe acute respiratory syndrome coronavirus 2,Betacoronavirus pandemicum,B.1.617.2,4.3.1/1.34/v0.1.12/0.3.19/0.6.3,,CWS_0016_47131542,29837,complete,India,Homo sapiens,,"Prakash,S., Shukla,S., Mishra,H., Jain,A.",2021-05-16,2021-07-14,ssRNA(+)
MZ558101,Severe acute respiratory syndrome coronavirus 2,Betacoronavirus pandemicum,B.1.617.2,4.3.1/1.34/v0.1.12/0.3.19/0.6.3,,CWS_0017_47423372,29837,complete,India,Homo sapiens,,"Prakash,S., Shukla,S., Mishra,H., Jain,A.",2021-05-16,2021-07-14,ssRNA(+)
MZ558102,Severe acute respiratory syndrome coronavirus 2,Betacoronavirus pandemicum,B.1.617.1,4.3.1/1.34/v0.1.12/0.3.19/0.6.3,,CWS_0018_47303313,29836,complete,India,Homo sapiens,,"Prakash,S., Shukla,S., Mishra,H., Jain,A.",2021-05-17,2021-07-14,ssRNA(+)
MZ558103,Severe acute respiratory syndrome coronavirus 2,Betacoronavirus pandemicum,B.1.617.2,4.3.1/1.34/v0.1.12/0.3.19/0.6.3,,CWS_0019_47812264,29825,complete,India,Homo sapiens,,"Prakash,S., Shukla,S., Mishra,H., Jain,A.",2021-05-18,2021-07-14,ssRNA(+)
MZ558104,Severe acute respiratory syndrome coronavirus 2,Betacoronavirus pandemicum,B.1.617.2,4.3.1/1.34/v0.1.12/0.3.19/0.6.3,,CWS_0020_47813148,29837,complete,India,Homo sapiens,,"Prakash,S., Shukla,S., Mishra,H., Jain,A.",2021-05-18,2021-07-14,ssRNA(+)
MZ558105,Severe acute respiratory syndrome coronavirus 2,Betacoronavirus pandemicum,AY.122,4.3.1/1.34/v0.1.12/0.3.19/0.6.3,,CWS_0022_48404991,29837,complete,India,Homo sapiens,,"Prakash,S., Shukla,S., Mishra,H., Jain,A.",2021-05-20,2021-07-14,ssRNA(+)
MZ558106,Severe acute respiratory syndrome coronavirus 2,Betacoronavirus pandemicum,AY.122,4.3.1/1.34/v0.1.12/0.3.19/0.6.3,,CWS_0023_46799245,29836,complete,India,Homo sapiens,,"Prakash,S., Shukla,S., Mishra,H., Jain,A.",2021-05-14,2021-07-14,ssRNA(+)
MZ558107,Severe acute respiratory syndrome coronavirus 2,Betacoronavirus pandemicum,B.1.617.2,4.3.1/1.34/v0.1.12/0.3.19/0.6.3,,CWS_0024_47180245,29836,complete,India,Homo sapiens,,"Prakash,S., Shukla,S., Mishra,H., Jain,A.",2021-05-16,2021-07-14,ssRNA(+)
MZ558108,Severe acute respiratory syndrome coronavirus 2,Betacoronavirus pandemicum,B.1.617.2,4.3.1/1.34/v0.1.12/0.3.19/0.6.3,,CWS_0025_47762019,29837,complete,India,Homo sapiens,,"Prakash,S., Shukla,S., Mishra,H., Jain,A.",2021-05-18,2021-07-14,ssRNA(+)
MZ558109,Severe acute respiratory syndrome coronavirus 2,Betacoronavirus pandemicum,B.1.617.2,4.3.1/1.34/v0.1.12/0.3.19/0.6.3,,CWS_0026_47755770,29825,complete,India,Homo sapiens,,"Prakash,S., Shukla,S., Mishra,H., Jain,A.",2021-05-18,2021-07-14,ssRNA(+)
MZ558110,Severe acute respiratory syndrome coronavirus 2,Betacoronavirus pandemicum,B.1.617.2,4.3.1/1.34/v0.1.12/0.3.19/0.6.3,,CWS_0027_48416209,29836,complete,India,Homo sapiens,,"Prakash,S., Shukla,S., Mishra,H., Jain,A.",2021-05-20,2021-07-14,ssRNA(+)
MZ558111,Severe acute respiratory syndrome coronavirus 2,Betacoronavirus pandemicum,B.1.617.2,4.3.1/1.34/v0.1.12/0.3.19/0.6.3,,CWS_0028_48851675,29837,complete,India,Homo sapiens,,"Prakash,S., Shukla,S., Mishra,H., Jain,A.",2021-05-22,2021-07-14,ssRNA(+)
MZ558112,Severe acute respiratory syndrome coronavirus 2,Betacoronavirus pandemicum,B.1.617.2,4.3.1/1.34/v0.1.12/0.3.19/0.6.3,,CWS_0029_48959821,29836,complete,India,Homo sapiens,,"Prakash,S., Shukla,S., Mishra,H., Jain,A.",2021-05-22,2021-07-14,ssRNA(+)
MZ558113,Severe acute respiratory syndrome coronavirus 2,Betacoronavirus pandemicum,B.1.617.2,4.3.1/1.34/v0.1.12/0.3.19/0.6.3,,CWS_0030_48922160,29836,complete,India,Homo sapiens,,"Prakash,S., Shukla,S., Mishra,H., Jain,A.",2021-05-21,2021-07-14,ssRNA(+)
MZ558114,Severe acute respiratory syndrome coronavirus 2,Betacoronavirus pandemicum,B.1.617.2,4.3.1/1.34/v0.1.12/0.3.19/0.6.3,,CWS_0031_48194655,29836,complete,India,Homo sapiens,,"Prakash,S., Shukla,S., Mishra,H., Jain,A.",2021-05-20,2021-07-14,ssRNA(+)
MZ558115,Severe acute respiratory syndrome coronavirus 2,Betacoronavirus pandemicum,B.1.617.2,4.3.1/1.34/v0.1.12/0.3.19/0.6.3,,CWS_0033_46791530,29826,complete,India,Homo sapiens,,"Prakash,S., Shukla,S., Mishra,H., Jain,A.",2021-05-15,2021-07-14,ssRNA(+)
MZ558116,Severe acute respiratory syndrome coronavirus 2,Betacoronavirus pandemicum,B.1.617.2,4.3.1/1.34/v0.1.12/0.3.19/0.6.3,,CWS_0034_49371804,29826,complete,India,Homo sapiens,,"Prakash,S., Shukla,S., Mishra,H., Jain,A.",2021-05-22,2021-07-14,ssRNA(+)
MZ558117,Severe acute respiratory syndrome coronavirus 2,Betacoronavirus pandemicum,B.1.617.2,4.3.1/1.34/v0.1.12/0.3.19/0.6.3,,CWS_0035_49384577,29837,complete,India,Homo sapiens,,"Prakash,S., Shukla,S., Mishra,H., Jain,A.",2021-05-23,2021-07-14,ssRNA(+)
MZ558118,Severe acute respiratory syndrome coronavirus 2,Betacoronavirus pandemicum,B.1.617.2,4.3.1/1.34/v0.1.12/0.3.19/0.6.3,,CWS_0036_49629048,29836,complete,India,Homo sapiens,,"Prakash,S., Shukla,S., Mishra,H., Jain,A.",2021-05-24,2021-07-14,ssRNA(+)
MZ558119,Severe acute respiratory syndrome coronavirus 2,Betacoronavirus pandemicum,B.1.617.2,4.3.1/1.34/v0.1.12/0.3.19/0.6.3,,CWS_0037_50046770,29837,complete,India,Homo sapiens,,"Prakash,S., Shukla,S., Mishra,H., Jain,A.",2021-05-25,2021-07-14,ssRNA(+)
MZ558120,Severe acute respiratory syndrome coronavirus 2,Betacoronavirus pandemicum,B.1.617,4.3.1/1.34/v0.1.12/0.3.19/0.6.3,,CWS_0038_49899482,29836,complete,India,Homo sapiens,,"Prakash,S., Shukla,S., Mishra,H., Jain,A.",2021-05-25,2021-07-14,ssRNA(+)
MZ558121,Severe acute respiratory syndrome coronavirus 2,Betacoronavirus pandemicum,AY.122,4.3.1/1.34/v0.1.12/0.3.19/0.6.3,,CWS_0039_49689088,29836,complete,India,Homo sapiens,,"Prakash,S., Shukla,S., Mishra,H., Jain,A.",2021-05-24,2021-07-14,ssRNA(+)
MZ558122,Severe acute respiratory syndrome coronavirus 2,Betacoronavirus pandemicum,AY.122,4.3.1/1.34/v0.1.12/0.3.19/0.6.3,,CWS_0040_51837726,29877,complete,India,Homo sapiens,,"Prakash,S., Shukla,S., Mishra,H., Jain,A.",2021-05-30,2021-07-14,ssRNA(+)
MZ558123,Severe acute respiratory syndrome coronavirus 2,Betacoronavirus pandemicum,AY.38,4.3.1/1.34/v0.1.12/0.3.19/0.6.3,,CWS_0041_53683771,29867,complete,India,Homo sapiens,,"Prakash,S., Shukla,S., Mishra,H., Jain,A.",2021-06-05,2021-07-14,ssRNA(+)
MZ558124,Severe acute respiratory syndrome coronavirus 2,Betacoronavirus pandemicum,B.1.617.2,4.3.1/1.34/v0.1.12/0.3.19/0.6.3,,CWS_0042_53971258,29825,complete,India,Homo sapiens,,"Prakash,S., Shukla,S., Mishra,H., Jain,A.",2021-06-06,2021-07-14,ssRNA(+)
MZ558125,Severe acute respiratory syndrome coronavirus 2,Betacoronavirus pandemicum,B.1.617.2,4.3.1/1.34/v0.1.12/0.3.19/0.6.3,,CWS_0043_54080653,29837,complete,India,Homo sapiens,,"Prakash,S., Shukla,S., Mishra,H., Jain,A.",2021-06-06,2021-07-14,ssRNA(+)
MZ558127,Severe acute respiratory syndrome coronavirus 2,Betacoronavirus pandemicum,B.1.617.2,4.3.1/1.34/v0.1.12/0.3.19/0.6.3,,CWS_0045_54340457,29825,complete,India,Homo sapiens,,"Prakash,S., Shukla,S., Mishra,H., Jain,A.",2021-06-07,2021-07-14,ssRNA(+)
MZ558128,Severe acute respiratory syndrome coronavirus 2,Betacoronavirus pandemicum,B.1.617.2,4.3.1/1.34/v0.1.12/0.3.19/0.6.3,,CWS_0046_54344662,29836,complete,India,Homo sapiens,,"Prakash,S., Shukla,S., Mishra,H., Jain,A.",2021-06-07,2021-07-14,ssRNA(+)
MZ558129,Severe acute respiratory syndrome coronavirus 2,Betacoronavirus pandemicum,B.1.617.2,4.3.1/1.34/v0.1.12/0.3.19/0.6.3,,CWS_0047_54463387,29870,complete,India,Homo sapiens,,"Prakash,S., Shukla,S., Mishra,H., Jain,A.",2021-06-08,2021-07-14,ssRNA(+)
MZ558130,Severe acute respiratory syndrome coronavirus 2,Betacoronavirus pandemicum,B.1.617.2,4.3.1/1.34/v0.1.12/0.3.19/0.6.3,,CWS_0048_54463391,29836,complete,India,Homo sapiens,,"Prakash,S., Shukla,S., Mishra,H., Jain,A.",2021-06-08,2021-07-14,ssRNA(+)
MZ558131,Severe acute respiratory syndrome coronavirus 2,Betacoronavirus pandemicum,B.1.617.2,4.3.1/1.34/v0.1.12/0.3.19/0.6.3,,CWS_0049_54686884,29837,complete,India,Homo sapiens,,"Prakash,S., Shukla,S., Mishra,H., Jain,A.",2021-06-08,2021-07-14,ssRNA(+)
MZ558133,Severe acute respiratory syndrome coronavirus 2,Betacoronavirus pandemicum,B.1.617.2,4.3.1/1.34/v0.1.12/0.3.19/0.6.3,,CWS_0051_54738505,29837,complete,India,Homo sapiens,,"Prakash,S., Shukla,S., Mishra,H., Jain,A.",2021-06-09,2021-07-14,ssRNA(+)
MZ558134,Severe acute respiratory syndrome coronavirus 2,Betacoronavirus pandemicum,B.1.617.2,4.3.1/1.34/v0.1.12/0.3.19/0.6.3,,CWS_0053_54898859,29837,complete,India,Homo sapiens,,"Prakash,S., Shukla,S., Mishra,H., Jain,A.",2021-06-09,2021-07-14,ssRNA(+)
MZ558135,Severe acute respiratory syndrome coronavirus 2,Betacoronavirus pandemicum,B.1.617.2,4.3.1/1.34/v0.1.12/0.3.19/0.6.3,,CWS_0054_54831973,29837,complete,India,Homo sapiens,,"Prakash,S., Shukla,S., Mishra,H., Jain,A.",2021-06-09,2021-07-14,ssRNA(+)
MZ558136,Severe acute respiratory syndrome coronavirus 2,Betacoronavirus pandemicum,B.1.617.2,4.3.1/1.34/v0.1.12/0.3.19/0.6.3,,CWS_0055_55288058,29836,complete,India,Homo sapiens,,"Prakash,S., Shukla,S., Mishra,H., Jain,A.",2021-06-10,2021-07-14,ssRNA(+)
MZ558137,Severe acute respiratory syndrome coronavirus 2,Betacoronavirus pandemicum,B.1.617.2,4.3.1/1.34/v0.1.12/0.3.19/0.6.3,,CWS_0056_55110146,29837,complete,India,Homo sapiens,,"Prakash,S., Shukla,S., Mishra,H., Jain,A.",2021-06-10,2021-07-14,ssRNA(+)
MZ558138,Severe acute respiratory syndrome coronavirus 2,Betacoronavirus pandemicum,AY.38,4.3.1/1.34/v0.1.12/0.3.19/0.6.3,,CWS_0059_55557426,29826,complete,India,Homo sapiens,,"Prakash,S., Shukla,S., Mishra,H., Jain,A.",2021-06-10,2021-07-14,ssRNA(+)
MZ558139,Severe acute respiratory syndrome coronavirus 2,Betacoronavirus pandemicum,B.1.617.2,4.3.1/1.34/v0.1.12/0.3.19/0.6.3,,CWS_0060_55425692,29836,complete,India,Homo sapiens,,"Prakash,S., Shukla,S., Mishra,H., Jain,A.",2021-06-11,2021-07-14,ssRNA(+)
MZ558140,Severe acute respiratory syndrome coronavirus 2,Betacoronavirus pandemicum,B.1.617.2,4.3.1/1.34/v0.1.12/0.3.19/0.6.3,,CWS_0061_55314315,29836,complete,India,Homo sapiens,,"Prakash,S., Shukla,S., Mishra,H., Jain,A.",2021-06-11,2021-07-14,ssRNA(+)
MZ558142,Severe acute respiratory syndrome coronavirus 2,Betacoronavirus pandemicum,B.1.617.2,4.3.1/1.34/v0.1.12/0.3.19/0.6.3,,CWS_0063_55770368,29825,complete,India,Homo sapiens,,"Prakash,S., Shukla,S., Mishra,H., Jain,A.",2021-06-11,2021-07-14,ssRNA(+)
MZ558143,Severe acute respiratory syndrome coronavirus 2,Betacoronavirus pandemicum,B.1.617.2,4.3.1/1.34/v0.1.12/0.3.19/0.6.3,,CWS_0064_55744582,29837,complete,India,Homo sapiens,,"Prakash,S., Shukla,S., Mishra,H., Jain,A.",2021-06-12,2021-07-14,ssRNA(+)
MZ558144,Severe acute respiratory syndrome coronavirus 2,Betacoronavirus pandemicum,B.1.617.2,4.3.1/1.34/v0.1.12/0.3.19/0.6.3,,CWS_0065_56698643,29837,complete,India,Homo sapiens,,"Prakash,S., Shukla,S., Mishra,H., Jain,A.",2021-06-15,2021-07-14,ssRNA(+)
MZ558145,Severe acute respiratory syndrome coronavirus 2,Betacoronavirus pandemicum,B.1.617.2,4.3.1/1.34/v0.1.12/0.3.19/0.6.3,,CWS_0066_56829297,29836,complete,India,Homo sapiens,,"Prakash,S., Shukla,S., Mishra,H., Jain,A.",2021-06-16,2021-07-14,ssRNA(+)
MZ558147,Severe acute respiratory syndrome coronavirus 2,Betacoronavirus pandemicum,B.1.617.2,4.3.1/1.34/v0.1.12/0.3.19/0.6.3,,CWS_0068_57554389,29837,complete,India,Homo sapiens,,"Prakash,S., Shukla,S., Mishra,H., Jain,A.",2021-06-18,2021-07-14,ssRNA(+)
MZ558148,Severe acute respiratory syndrome coronavirus 2,Betacoronavirus pandemicum,B.1.617.2,4.3.1/1.34/v0.1.12/0.3.19/0.6.3,,CWS_0069_57590371,29836,complete,India,Homo sapiens,,"Prakash,S., Shukla,S., Mishra,H., Jain,A.",2021-06-18,2021-07-14,ssRNA(+)
MZ558149,Severe acute respiratory syndrome coronavirus 2,Betacoronavirus pandemicum,B.1.617.2,4.3.1/1.34/v0.1.12/0.3.19/0.6.3,,CWS_0070_57791760,29836,complete,India,Homo sapiens,,"Prakash,S., Shukla,S., Mishra,H., Jain,A.",2021-06-18,2021-07-14,ssRNA(+)
MZ558150,Severe acute respiratory syndrome coronavirus 2,Betacoronavirus pandemicum,B.1.617.2,4.3.1/1.34/v0.1.12/0.3.19/0.6.3,,CWS_0071_57793353,29836,complete,India,Homo sapiens,,"Prakash,S., Shukla,S., Mishra,H., Jain,A.",2021-06-18,2021-07-14,ssRNA(+)
MZ558151,Severe acute respiratory syndrome coronavirus 2,Betacoronavirus pandemicum,AY.112,4.3.1/1.34/v0.1.12/0.3.19/0.6.3,,CWS_0072_58509236,29836,complete,India,Homo sapiens,,"Prakash,S., Shukla,S., Mishra,H., Jain,A.",2021-06-21,2021-07-14,ssRNA(+)
MZ558152,Severe acute respiratory syndrome coronavirus 2,Betacoronavirus pandemicum,B.1.617.2,4.3.1/1.34/v0.1.12/0.3.19/0.6.3,,CWS_0073_58392604,29837,complete,India,Homo sapiens,,"Prakash,S., Shukla,S., Mishra,H., Jain,A.",2021-06-22,2021-07-14,ssRNA(+)
MZ558154,Severe acute respiratory syndrome coronavirus 2,Betacoronavirus pandemicum,B.1.617.2,4.3.1/1.34/v0.1.12/0.3.19/0.6.3,,CWS_0075_58751319,29838,complete,India,Homo sapiens,,"Prakash,S., Shukla,S., Mishra,H., Jain,A.",2021-06-22,2021-07-14,ssRNA(+)
MZ558155,Severe acute respiratory syndrome coronavirus 2,Betacoronavirus pandemicum,B.1.617.2,4.3.1/1.34/v0.1.12/0.3.19/0.6.3,,CWS_0076_58881258,29837,complete,India,Homo sapiens,,"Prakash,S., Shukla,S., Mishra,H., Jain,A.",2021-06-23,2021-07-14,ssRNA(+)
MZ558156,Severe acute respiratory syndrome coronavirus 2,Betacoronavirus pandemicum,B.1.617.2,4.3.1/1.34/v0.1.12/0.3.19/0.6.3,,CWS_0077_55316183,29836,complete,India,Homo sapiens,,"Prakash,S., Shukla,S., Mishra,H., Jain,A.",2021-06-11,2021-07-14,ssRNA(+)
MZ558157,Severe acute respiratory syndrome coronavirus 2,Betacoronavirus pandemicum,B.1.617.2,4.3.1/1.34/v0.1.12/0.3.19/0.6.3,,CWS_0078_55266732,29826,complete,India,Homo sapiens,,"Prakash,S., Shukla,S., Mishra,H., Jain,A.",2021-06-10,2021-07-14,ssRNA(+)
MZ558158,Severe acute respiratory syndrome coronavirus 2,Betacoronavirus pandemicum,B.1.617.2,4.3.1/1.34/v0.1.12/0.3.19/0.6.3,,CWS_0079_54636200,29836,complete,India,Homo sapiens,,"Prakash,S., Shukla,S., Mishra,H., Jain,A.",2021-06-07,2021-07-14,ssRNA(+)
MZ558159,Severe acute respiratory syndrome coronavirus 2,Betacoronavirus pandemicum,B.1.617.2,4.3.1/1.34/v0.1.12/0.3.19/0.6.3,,CWS_0080_54315840,29836,complete,India,Homo sapiens,,"Prakash,S., Shukla,S., Mishra,H., Jain,A.",2021-06-07,2021-07-14,ssRNA(+)
